review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
RQQ3KVTU5TJ4I,5,24,29,N,Y
R3FELXWV9T5CWE,2,22,24,N,Y
ROBYK6EZYK398,5,29,30,N,Y
R2RKCSAG6GBA4A,1,8,28,N,Y
R2YVBBR6NXIA4V,5,25,28,N,N
R2AVTBDIVG2AW4,5,26,26,N,N
R1Z2LNN3FANMTO,1,20,24,N,N
RLNULBKRWNNR,5,42,43,N,Y
R9QNQUL94RX1F,3,27,33,N,Y
RTULFZTUS1VBP,5,51,52,N,Y
R1BM9RBQWI62O2,5,43,60,N,N
RWB6V9IYCOJFX,4,39,41,N,Y
R15FA7GCXKC7YE,1,40,41,N,Y
R2OQAI6AV8AH8Z,1,19,32,N,Y
R2XD5CWZ4Z87ZR,5,19,25,N,Y
R3LLBXVCEY5JKB,1,33,35,N,Y
RQWM8U7YH93TT,4,92,93,N,N
R2DEO6P7BEZ9UI,5,38,38,N,Y
R2CKYIHUSK3IEP,1,74,88,N,Y
RY0DMUQKNF8MT,5,32,33,N,Y
R33XCAJDTPOUQS,5,22,23,N,Y
RGL4LGN3O9GQ0,4,34,38,N,Y
R3W2R5Z85G9TH5,1,38,41,N,Y
R1NWWU8ZLZ5HF2,5,21,22,N,Y
R1ABAPTORVLY2R,5,138,146,N,Y
R38Z7T00TUVGSQ,2,48,59,N,Y
R3M9KGSP2KQUG5,5,130,134,N,Y
R1A9PBH15OOUO9,5,21,24,N,Y
R2WEZX1TP7KOSV,5,23,27,N,Y
R3LS558570NIO,5,22,24,N,Y
RRS8UZMSONM1J,5,18,20,N,N
R29EU3H70Y6GTF,5,30,30,N,Y
R36L3Y0XAESHE1,5,89,97,N,N
R1FZ17R22VIIMA,1,152,162,N,Y
R3AHMZCYQVZ5XL,5,0,23,N,Y
R18CUHOUPFDNRO,5,20,27,N,Y
R3MM1NR6Y4ZVR8,5,62,63,N,Y
R2PNYP08SHYJ1G,1,25,26,N,Y
R3EXW3183V97UJ,5,34,34,N,Y
R1IIU852I1WEJ7,2,19,20,N,Y
R1UD8UBT0L0KCW,3,23,23,N,Y
R3D6HSD8NAZ2TM,5,18,23,N,N
RU33HT9ASZWK8,4,17,21,N,Y
RW5ND57P371YQ,5,33,35,N,Y
R31JIN4MVWC5QG,1,43,44,N,N
R2Z05D58TA66OJ,5,60,61,N,Y
R1L3W0F3KV4QC9,5,25,25,N,Y
R28MKLQKFUA5X7,1,20,21,N,Y
R2H25TIC57QOJW,3,24,26,N,Y
R1QGLH6CW8K90N,1,38,42,N,Y
R2WM4KG3NZUKA4,2,137,167,N,Y
R2QOSLFYMH4SA5,5,22,23,N,Y
R3VQPSWZO9PMM9,1,5,44,N,N
REUS4RQS9G6X3,4,24,24,N,Y
R1ZZQ8SXFSE1HR,3,72,73,N,Y
RJVJD2NUEL8CV,4,25,27,N,Y
R1CV9XJ6AMPV00,3,30,32,N,Y
R3VCYCQO20JWK4,5,28,29,N,Y
RFGQMR9E9QU76,5,25,27,N,Y
R3JJQTR2TW1KVQ,5,35,38,N,Y
RVWQPC00ASN2Q,5,40,44,N,Y
RGEB9373CPEXV,5,27,29,N,Y
R3CG5UAC0T3XEY,5,51,56,N,Y
R2EMOP0ZC3TYIW,5,35,36,N,Y
RW69S1R09VVS4,1,3,29,N,N
R33QTYE29T6KDC,5,31,31,N,Y
R3D5TF8F858DR6,4,17,22,N,Y
RSJ37JICUTHDL,5,27,30,N,Y
R2R9MZN6MSILSV,1,20,23,N,Y
R21UWM2KWWHW7,1,4,29,N,N
R2EZT3IMW0YECM,5,47,47,N,Y
R2HXEKWV0A0Y1X,5,24,26,N,Y
R3L9OZVR0CVJKR,1,14,20,N,Y
R1JCPJAJFQ3JS9,4,20,20,N,Y
R12DP024VEU8YX,5,30,37,N,N
R3OQSYD458QIMZ,5,134,140,N,Y
R1INHZUMLMPIXZ,1,2,55,N,N
R1JV5I9AENE5MC,3,22,23,N,Y
R49RW1Q18BURQ,1,72,80,N,Y
R1MLIY5NY7ZWK5,3,30,32,N,Y
R3ITNS1GH3T9RH,1,2,20,N,N
R2O34YKCC1R52Y,3,1,21,N,Y
R35VT85DRE79EC,5,56,56,N,Y
RSIUVVHNLGOQQ,5,27,27,N,Y
R1BTBESYSYFI6S,1,9,35,N,Y
R22SEM9AM2TUY7,5,40,41,N,Y
R1DP8U8LL9PF2M,5,17,20,N,Y
R1TRZXKUOGMWM5,5,33,37,N,Y
R2TDB9KM7UGYMM,1,5,36,N,N
R1BF6W0F1H9OJW,1,25,30,N,Y
R17F0CQ8OGYKXB,4,20,22,N,Y
R2GDWIGXUOHJTL,5,28,28,N,Y
R2MHX0CY3Y7FSG,5,22,22,N,Y
R2X24G7VHEZMN,3,18,20,N,Y
RKFVA45HVD2AM,1,17,20,N,Y
R1B4BVLUFJVHWM,2,28,30,N,Y
R3IVME3L1BNAG9,1,39,40,N,Y
R1TM49ZJIBF70F,1,36,38,N,Y
R17D54POLNWWIB,5,29,30,N,Y
R3BYOMMK2H9D1Y,1,47,52,N,Y
R1MXVCRJCYQMEW,4,17,20,N,Y
R1COH9W58B1P6O,4,91,97,N,N
R31EUUJG3SN5ZW,5,20,21,N,Y
RWGKQAG3197PL,1,18,20,N,Y
R2IUE5RQCWY4QV,1,4,28,N,N
R3VGWR6SZZLWGY,5,25,26,N,Y
R2U57QS80H5MB0,5,23,23,N,Y
RVESXA7ILOHQI,5,246,254,N,Y
R1VWHBC9M09G5E,5,24,24,N,Y
R33PRRPXLYS2NU,5,18,20,N,Y
R1JWNNHCU9PXO3,5,156,156,N,Y
R9WBQKMZYXY2Y,5,20,20,N,Y
R3F44EVICDC4TY,1,114,125,N,Y
R2WDU6V9VT282O,4,19,20,N,Y
R30HDRT2DCQLRM,5,31,31,N,Y
R65CEG9QCN72L,1,47,52,N,Y
R8R1NPN2RJEAV,4,69,69,N,Y
R3BGX632TCR29Z,1,88,88,N,Y
R2OCF475Z3NT4T,5,34,36,N,N
R3FFLT63OWE6Z5,1,133,180,N,N
R2ZQHE2Z3WDDDX,5,38,39,N,Y
R2I5ZLS8J88AF,5,25,26,N,Y
R2H977UCP6IANZ,2,21,21,N,Y
RJYFE83G2DT6P,5,34,34,N,Y
RK79WQXA8Z6GH,5,21,44,N,N
R3EWGBLM19GKJA,5,29,29,N,Y
R7NMVTHN6TVTN,3,23,23,N,Y
R1BB3152727B8F,5,36,37,N,Y
ROWW1J4GAT9KZ,5,49,56,N,Y
R3SK6YZI4IM3C6,3,19,21,N,Y
R8CRVWVLIMROX,5,19,22,N,Y
RIV0VD0QG3OX8,1,185,200,N,N
RHUF02GIFNMLR,3,18,24,N,Y
R1P75BHVHF1QU8,5,23,24,N,Y
R16D64HRV02A5X,5,32,32,N,Y
R368QC5EAFE7TF,1,59,60,N,Y
R3GZB4WSQ79W83,1,18,22,N,Y
R16BX2JRWDQBEX,5,20,21,N,Y
R3A6H6OQEN6CAR,1,30,37,N,Y
R1TJMWYMMZXSUX,1,92,115,N,N
R14Q6PEBWL15RM,5,22,22,N,Y
RPXZ8S7DX1NAZ,1,26,50,N,N
R12U2J5C5NT24F,1,59,87,N,N
REGMHFK1PNQ51,5,36,38,N,Y
R1ZCAW58XCGXWQ,1,50,57,N,Y
RVAJQ423YHHOR,5,23,23,N,Y
R3S2VL0T8J8YHU,4,29,30,N,Y
R32JH3VNK1648P,5,76,82,N,N
R21WU8OKYYAJSS,5,37,37,N,Y
R1NDJW890XZLU8,5,20,22,N,Y
R15ILUT0VTA99J,5,168,173,N,Y
R1RAE1716X9XME,1,50,60,N,Y
R3ANFVPVQDCCXE,3,26,30,N,Y
RGEIHRRU0QKNB,1,20,20,N,Y
R2MXRGJLSDDAH5,5,73,74,N,Y
R2BZ1FKJ03GVQH,1,3,22,N,N
R2K1LRNFTVGMIV,5,40,42,N,Y
R2RI0MFGOHP85L,5,84,98,N,N
R30QM9R48SXWGN,1,21,28,N,N
R3VATY1LE3HSLH,1,77,81,N,Y
R1Z2F634O572F5,5,54,59,N,Y
R20L8RJLC7USOL,1,34,40,N,Y
R1N5DZL2K541AS,1,42,43,N,Y
R3IZ46KKPCTXP3,5,24,24,N,Y
R1Z7MVM0U5FZRU,4,25,26,N,Y
R3BUP2OC08H1RW,3,159,160,N,N
R1HFNNSLJBW58U,5,117,123,N,Y
R38SM8IQJEFO33,3,23,24,N,Y
RRYCIBOY2T5DP,1,25,25,N,Y
R1Q39Z5JOAAMYJ,5,19,20,N,Y
R3AZQYTFQ2J39L,4,64,65,N,N
R1Q7PXMI7VFPN,5,326,328,N,Y
R2VVP4OG76X7RN,5,20,21,N,Y
R1KK0B6S59V555,4,23,23,N,Y
R2YTKVKCOIYSFB,5,24,26,N,N
R6PTDRPCBY7AV,1,22,24,N,Y
RR90N6YJCJWDU,1,19,20,N,Y
R3RJ05ATLXSY7G,4,31,35,N,Y
R2VKG67QADTBK7,2,29,29,N,Y
R2OJ84H20C2AQN,1,47,53,N,N
R3RCWUU7GXGO6Q,5,22,23,N,Y
R3L7AX6UY2NJGA,5,35,37,N,Y
R1FHJWLYHPDZD,4,21,21,N,Y
R2D3ZJB5RAYDV7,4,3,30,N,Y
R2YBOW1VO7NOAS,1,39,43,N,N
R1MU61EJM2NYGN,3,28,28,N,Y
R1SEXBEBOM4GGJ,1,20,23,N,Y
ROM90CAOMX6EB,1,33,37,N,Y
RJJY3U8J4NC5W,4,45,49,N,Y
R1ZWIL9NPYVUEB,5,65,69,N,N
R2M2GGZC82WT3Q,5,27,27,N,Y
R14PHCPFL42Z71,5,131,136,N,Y
R3PTNMF2VYBJSH,1,4,27,N,Y
R1ULVPIM7L0LMW,3,22,25,N,Y
R3QYKJA3OEYLDC,1,34,37,N,Y
R3FY76SPRTYO0U,1,41,44,N,Y
R23PZ2EVWWKV6J,5,31,32,N,Y
R22ASY1093QF5W,5,59,60,N,Y
R3ABCUY2NAAUFK,1,31,32,N,Y
R1QHSHPKER8DPT,5,35,35,N,Y
R1YDGFX92ETW9L,4,21,24,N,Y
R2TXU1OI8VLFG4,2,54,56,N,Y
R1IKIK24W0JER6,5,49,50,N,Y
R1LH0OTM0AO0SL,5,22,24,N,Y
R15WCRZDJCEOWI,2,81,84,N,Y
R2GB2L7V08W1XF,5,26,29,N,Y
R6CV70N24SZM0,5,59,63,N,N
R31Z7Z1EA6VTP5,1,20,23,N,Y
R2TBX4EA4PHWI0,4,28,29,N,Y
R3R6QYWBYYC6DM,3,31,40,N,Y
R16EA02177T4HU,2,42,44,N,Y
R1XRK76RNT3Q5V,1,26,32,N,Y
R1C6QTENNQJI4B,5,27,29,N,N
R3LWKX6AYNY1MP,2,28,28,N,Y
R1KU7J3BGE9WJE,1,76,84,N,Y
R1BUEN8L9TT4ON,1,20,20,N,Y
R20S3B1K1X8TUU,1,3,25,N,Y
R28682FCB5XMAX,4,44,48,N,Y
RD3RVN3LT02YF,5,24,24,N,Y
R2IOH75ZHMPED7,3,28,30,N,Y
R16FW05NC4BRP4,1,21,22,N,Y
R21VVHQKZRHEIO,5,21,23,N,Y
R3NQPC35YD0RPE,5,34,34,N,Y
R1HRXFN2CC91MH,5,21,23,N,N
R1XRSTRT4U6NY4,2,28,32,N,Y
R10ILMFQXYEXM6,5,30,30,N,Y
RUOOVL3496P8F,5,44,48,N,N
R2799E4JK1GUGO,4,23,23,N,N
R27CDPGSJZQAJG,5,22,22,N,Y
R15XZOH1RRSKTE,1,3,31,N,Y
R32KQU9PP4XHK,1,34,39,N,Y
RA83CF08JQKP0,1,56,67,N,Y
R3OMYSYY152WGG,5,82,83,N,N
R19SVHN3IE2PVT,5,24,24,N,Y
R2ER1LFSHWOTF9,4,21,25,N,Y
R19UN6DJW9YKST,5,42,43,N,Y
RM6M286MRTZID,5,31,34,N,Y
R2HOI3NUDQX9GG,3,233,262,N,Y
R39816ZSBZE5JU,5,69,70,N,Y
RZJKQPIJOWN7M,5,32,33,N,N
R3I2VB1CXS8JIT,1,95,99,N,Y
R1KHP28FVN896S,5,32,33,N,N
R3Q5XWUNOL6RZ,5,21,23,N,Y
R2OJRKULIY1GC2,1,22,26,N,Y
R2Y2U6Y83TP4ZX,1,9,33,N,Y
R6BVEH877IPA5,1,8,23,N,N
RBAV2JC6RMABC,5,22,23,N,Y
R2UKD9MS101580,1,20,26,N,Y
R28DXTC3JQ9IY1,4,24,26,Y,N
R4I3QNYOQVTDT,1,22,24,N,Y
R1HO68G037D5RN,5,76,79,N,Y
RFYBLO5VVXQSQ,5,44,48,N,Y
RJU78RU32PXY6,1,21,27,N,Y
R118FCUL81KGN9,5,183,186,N,N
R223FTFJVYXE4Y,1,25,29,N,N
R356BW37LL1I55,1,34,39,N,Y
REMH33KAQCFRI,5,35,37,N,N
RR7QYMA7WSLTQ,4,25,27,N,Y
R31OFIG05R6Y25,1,35,55,N,Y
R1BPDPHN7UIL7A,1,24,29,N,Y
R2LT053DR37KFB,1,3,31,N,Y
R3OGFGYL74VP1Q,4,11,51,N,Y
RJFH430YHYC70,5,60,67,N,N
R39NV0RDQ7FTV2,1,29,33,N,Y
R3V5WOF5FZRNHF,3,32,35,N,Y
R1J3NWEJRR3TB0,5,19,21,N,Y
R2VT5G4N5CM5DL,4,22,22,N,Y
R216AXTSGM5KG7,5,17,20,N,Y
R2RW6E90AXMYP0,5,29,30,N,Y
R1WGC9DVQGAGE5,1,19,22,N,Y
R25VD5YJKCWND2,1,24,28,N,Y
R2Z1JETRDCDW7D,1,47,53,N,Y
R11WDPPEY0VZMG,1,20,24,N,Y
R39BH3E8RZVQ16,2,63,73,N,Y
RD3EF32ECOFBY,5,38,40,N,Y
R354CUJHZ09F22,1,34,36,N,Y
RZ4PH51LKE6CQ,5,53,53,N,Y
R81M5XFKCXJY5,1,42,45,N,Y
RVUQ8COIYL63B,5,31,31,N,Y
R2PADZ24ASDVIE,5,92,103,N,Y
R2DQH9H7AHUUJV,1,24,25,N,Y
R2STRPSRA8HA0E,5,20,20,N,Y
R1XSVJ2Y4TKP4X,1,20,21,N,Y
R13996TLBA2ICT,5,275,289,N,Y
R38N6UF7DQVUVO,5,21,22,N,N
R27SYFRQB2NUMJ,1,32,34,N,N
R97F49D5BEP1R,4,20,22,N,Y
R83T7R92AQMGS,1,19,20,N,Y
RS1RI92HXBDN8,3,53,62,N,Y
R1HPULXZPDEE7L,5,295,312,N,Y
R2MQUEQHYROT0Q,5,24,24,N,Y
R1ZYDRE8SFECOY,1,3,24,N,N
R3RVX96LUM6SP9,1,31,41,N,N
R30H421X5DHO70,3,25,25,N,Y
R27HQ300PFSCCJ,5,19,22,N,Y
R1TKJGMCJ84OXV,1,4,35,N,Y
R2W9AID9LJDYBA,2,247,261,N,Y
R32A0AWI3XXFXF,5,22,25,N,Y
R2A320BR0CG60Q,5,25,26,N,Y
R20MMHVB1EGIPH,5,20,20,N,N
R2H5LTZWYQUOU2,5,29,30,N,Y
R3MFN99WDPY8VP,5,17,21,N,Y
R30DA4B019KBPW,5,35,41,N,Y
R3EDYTNV8QVEZU,5,20,23,N,Y
R18NZYTLCZEAMW,5,115,124,N,Y
R1JKUI5W0S39LC,5,24,25,N,Y
R10X3VPYGCK5WC,5,40,44,N,Y
R20B0C4QI50L2G,5,134,139,N,Y
RMSAW0YJQGCN1,3,22,23,N,Y
R26Y3WO1GV7DJN,1,18,23,N,Y
RFZC3KI3PW1AT,4,4,24,N,N
R3ELJFJAYZCHGS,5,110,110,N,Y
R2KUF42WCM7E57,1,33,38,N,Y
R38FHY50ZZ9JWL,5,35,38,N,Y
R11J2SGOKRUQ2T,1,1,26,N,N
RUI8F768ZF88S,2,41,43,N,Y
R24QAPOQH24015,5,30,31,N,Y
R4A0RF1AZJGHV,5,235,238,N,Y
R2U52F93KNCAEF,1,20,22,N,N
RCUJR908ZC8HA,1,18,20,N,Y
R2O8UVWVB150F,1,23,24,N,Y
RB8R5Q4VBW0N5,5,25,28,N,N
R20EGFBHSG93W7,1,48,53,N,Y
R2XDQGT7A3VUE4,1,23,57,N,Y
R2JI1Y1RXFVVCA,1,30,31,N,Y
RKL2EXOOSTW92,1,19,22,N,Y
R2E966FV9IM7SS,1,32,37,N,Y
R1R1TOJ0EI79H4,5,67,73,N,Y
R2SMCNCQZBWL74,5,17,22,N,N
RF6CJ1ZLS59BT,5,22,24,N,Y
RTAFSMJQB5WKK,5,21,21,N,Y
R2KG7URPCIVZW1,5,28,31,N,Y
RNMTK26SK9NRY,3,27,29,N,Y
R1RRZS7Y6Z2IRK,1,38,43,N,Y
R26TSPNSM74I4Y,5,25,26,N,Y
R3QROVPTQ7RBQV,5,143,149,N,Y
R3TU27FFER95JP,3,52,52,N,Y
RRP08BNDK24UU,4,50,52,N,Y
R1X9RZNAC73CXR,5,24,24,N,N
R1JBU82I5C22HJ,4,19,23,N,Y
R3OZIKNXUKUTGO,1,20,21,N,Y
R25PFZ4C7NY2VF,5,35,35,N,N
R1LGIQF2RKOWJ8,5,20,20,N,Y
R1Q60COUBBALCO,3,49,50,N,Y
R2TYBPV0VDUQDL,3,18,22,N,Y
R32OBPH1UFLIFF,4,26,31,N,Y
RVZBNW0UV86HQ,5,26,29,N,N
R29S0ITVX84S4D,3,214,223,N,Y
R35FRYNI9VLFCA,5,24,24,N,N
R2OAVMAB7SRAAS,5,22,27,N,N
RLSEQ20GD378K,5,33,35,N,Y
R20WOC4L8FGLMT,5,81,84,N,Y
R14W6ZW4CRKOJX,4,22,22,N,Y
R13REPPWIO9KL9,5,80,93,N,Y
R324VB1ODFFCGW,4,88,90,N,Y
R26S4L0AJKACQD,5,145,146,N,N
R2CEQVRV8373CY,5,19,20,N,Y
R1K1W2VIJ67ZBS,5,28,29,N,Y
R1YG1NRS8OXCKR,5,117,122,N,Y
R2KP1F1NFR5WE0,2,20,22,N,Y
R2R2RS65A6G2NC,5,23,28,N,Y
R1I5MOIPWEXZGW,1,30,30,N,Y
R2V1XXAKIQBPNC,1,19,26,N,Y
RDPG9OHNFZBHZ,5,31,31,N,Y
R1USMBNOBU0GS2,5,251,268,N,Y
RYQTGF2HVG727,1,13,33,N,N
R3FYX16ET449QL,5,36,37,N,Y
RIVOZAELHA6D8,5,35,37,N,Y
R2A76ELIEXHK7M,5,20,20,N,Y
R3BV9VR6HJPXUH,4,55,59,N,Y
R2KE2JXENOGEA7,4,42,43,N,Y
R1CMADENPWIZQY,5,32,34,N,Y
R1ZLRVFZNNGWH,1,30,34,N,N
R25QWARVPOOBRD,5,120,124,N,Y
R2UONI4U75PWDL,5,184,186,N,Y
R3VTZ5UWH84F64,4,19,21,N,Y
RWTX1XVH0J4UE,5,25,26,N,Y
R3P37C9ZBXCO7Z,4,42,44,N,Y
R2V5286HX2KWM0,1,50,64,N,Y
R1JLPRIM7GILRH,2,22,22,N,Y
R3N7FATE1SWTOR,1,23,25,N,Y
R30E01G6H08PFG,3,20,24,N,Y
R249J39JP0RQB5,3,20,20,N,Y
R1W2KJU9YFCAWZ,5,30,31,N,N
R11DA4T9KZ1WHV,1,25,33,N,Y
R1OFNNUIWT4N0J,4,23,24,N,N
RQWZJ8T5BXB81,4,22,23,N,Y
R21NT70OO4G0CU,1,124,135,N,Y
R5K2Y3P694PEK,3,136,144,N,Y
R2R2WQ1M4V1NWI,4,23,23,N,Y
R2QTZ97M0FV6DD,2,26,28,N,Y
R2JC8VQ9MQ8867,4,57,66,N,Y
R13T3RSGIQTDCK,5,20,21,N,N
R1VLPGNCZUWEQA,1,5,32,N,N
R3T0N2EI3E1QFW,5,24,30,N,N
RM8T8FY8MTK09,5,29,30,N,Y
R3AFZKLQXATHBU,5,44,49,Y,N
R1ULF1WKCPW30G,5,52,52,N,Y
R1UV2TJ9YYA72X,1,27,28,N,Y
R3N40BB87QITS0,5,63,69,N,Y
R2ZCJA4ZOY6GP1,1,28,39,N,Y
R1CKSXOW0FW8WB,1,52,59,N,Y
R4RIET3XE6H2O,5,29,33,N,N
R2AQ821S8LA4KV,5,27,30,N,Y
R2WTID3JBJHMO8,3,109,123,N,Y
R2GY2QWHDZPZRJ,5,31,37,N,Y
R2OQPIG7DJ05HY,1,19,22,N,Y
RM7F9PXMI4QLS,1,19,20,N,Y
R3JWFZE1JUUL25,1,20,49,N,Y
R21KHZGMJ90MUY,3,31,32,N,Y
RVWEXBJBW9A8S,5,50,50,N,Y
R3RFM0P7G4P2S0,4,39,40,N,Y
R1X2JWKFT57JKC,4,38,42,N,Y
RLW4OGKDUXFNQ,4,42,44,N,Y
R385B96PWFH7KJ,3,38,43,N,Y
RTULRZFPOAH31,4,23,28,N,Y
R27DL6M9EMAJ4V,5,20,20,N,Y
RTZPGDWGGL4UH,5,128,131,N,Y
R2ALAC7P04RPPJ,1,19,42,N,Y
R2TYSCOXZWDMDS,5,21,21,N,Y
R2UA68AK9K7KUZ,3,20,21,N,Y
R247K2NTPR4UVM,5,23,24,N,N
R2NW7WJRSG9ME,1,58,61,N,N
R17NSZ3LFYBMJA,5,25,26,N,Y
R3PMRI11HHJVHS,5,24,26,N,Y
R2898D3A3U1HKS,1,21,24,N,Y
R16D417WBYC3BI,5,116,117,N,N
R1AAF941X4QFCE,5,22,23,N,Y
R364PC2JIBKF3E,4,347,349,N,Y
R1N1KZ0K67M2F5,5,12,28,N,N
R3E0BXWHVSRBPT,3,21,21,N,Y
R3GIEMWU1W677S,1,17,24,N,Y
RGVO3LIY08BU9,5,40,44,N,Y
R1K0ZXAMCZS1QL,5,50,53,N,Y
R2XW1XJCNK55SU,2,22,100,N,N
R1EMAOF92IQ0LW,5,21,21,N,Y
RE8ORCFULNNG6,1,35,37,N,Y
R33FQ2JLRXCVVN,1,93,106,N,Y
R1S4FFKEME900R,5,17,22,N,Y
R3OKTOHHMVK3ZR,5,29,32,N,N
R9PYQIU181B2T,5,20,27,N,N
RXF3X78A5Y1YX,5,72,77,N,Y
R2KS9F1WCF8RNK,1,18,20,N,Y
R2E5EMKEHJZ1DE,5,39,41,N,Y
R2YX083HJEL0WG,1,63,63,N,Y
R3BEHGMNK3U4SL,5,16,20,N,Y
R2LE2BP0R4Q0VM,4,19,22,N,Y
R5AUQBP49NNLD,5,27,28,N,Y
R6S5VE3LH6U23,1,26,28,N,Y
R3NM7UL8OL3L9I,5,38,59,N,Y
R2O96K321G3ORA,5,18,20,N,N
R2UDCBVQ2DY46G,4,65,65,N,Y
R3KJ2U34221DW2,5,168,179,N,Y
R3S4LIDVK0YT8A,5,34,42,N,N
R23DLLM7YSE9HO,4,17,20,N,Y
R3V35IP1ZOTME9,5,22,22,N,Y
R1JILHXZJIQNNJ,5,20,21,N,Y
