review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R28DXTC3JQ9IY1,4,24,26,Y,N
R3AFZKLQXATHBU,5,44,49,Y,N
R2RUUF2JPJPC0E,4,20,22,Y,N
RFZ2WUH4248AB,2,26,27,Y,N
R1Q4LVHIFOWYFR,5,23,28,Y,N
R4YEPTQED3X1Q,5,19,20,Y,N
R2Z7C8YCRSC9DP,5,22,22,Y,N
R3J8OI5CB74P5K,1,22,25,Y,N
RH39LMKN6AZDC,5,33,40,Y,N
R8RD8K0ESJSRD,5,21,21,Y,N
R6P04SW0Z1FCR,5,20,25,Y,N
R32LMNP5ZU2F6G,3,33,37,Y,N
R21L9F1CIGVQ7H,5,35,45,Y,N
R3407EU7EKOUMA,4,31,40,Y,N
RDFMCB5Q7U0UW,4,152,155,Y,N
R2U38GEWPJG6JI,5,63,66,Y,N
R1E24YIQRGSP10,5,30,40,Y,N
R3L7PBHQGA3LB0,3,14,20,Y,N
R91BX5ZLRONPJ,4,16,21,Y,N
R1P31XRPGIF50W,4,33,38,Y,N
RTKSQRXMMJHGZ,4,20,24,Y,N
R14QEJX56WXUOM,4,351,369,Y,N
R3365PA01BT343,4,36,37,Y,N
R1QA47NE6C52R6,4,31,32,Y,Y
RHVL8OFSO8JWR,4,22,28,Y,N
R3FI5XQO2NF6ZY,2,21,23,Y,N
R1MYAJ396QAWBM,1,53,58,Y,Y
R11QV435MZ4YI8,4,32,35,Y,N
R28K77MZ2W62J0,5,24,27,Y,N
ROR9ZL1W57OZL,5,53,54,Y,N
R1ON1A3FM5YHWI,5,24,28,Y,N
R1CUREQ81EGONE,5,21,24,Y,N
R6DCF3NLJXPOO,5,20,21,Y,N
R5L14ZZC13Z6X,3,22,29,Y,N
R29GX7V8RSJTYA,5,106,107,Y,N
RQ1DOWLPFRTVT,4,50,56,Y,N
R3L2LANYCRCGRR,4,71,85,Y,N
R3E4V79V7I9E0Q,2,37,41,Y,N
RKJUTDOLME7Q8,5,41,46,Y,N
R19MERQZS8S321,5,36,41,Y,N
R2DOXC54OWFVB7,3,20,21,Y,N
R23SGYIELXYG7D,3,35,44,Y,N
RP9RZR1XI0BS2,4,76,85,Y,N
R2MIUEQIMIYLJP,4,45,53,Y,N
R22112TSAHR5O4,3,101,110,Y,N
R3KIR68UD1UVC4,5,21,28,Y,N
R3EHOYHCCNE1P,5,17,22,Y,N
R6UTZGECEDRIU,5,88,93,Y,N
R1AIAFAS03Z0A5,5,49,57,Y,N
R3FCQHZV364GCZ,5,25,30,Y,N
R3MHU3NSEJTTRF,5,18,23,Y,N
R3UHAYBXBPDILF,3,33,37,Y,N
R3TU4DMWCZCOR3,4,40,42,Y,N
R35EIC062B2X6A,5,61,79,Y,N
R1RLU6YWTPM4JC,4,35,37,Y,N
R2ATLBZF55UNCU,5,33,40,Y,N
R1TV3LRV2IH53M,5,26,29,Y,N
RPQH8G7ORL3ST,5,50,60,Y,N
R1GDAJ2MYZ34PS,3,35,36,Y,N
R39WFY6C6XWS95,4,38,38,Y,N
R2RACW295KTMU,1,24,25,Y,N
R1BA7LN6QAOGCJ,4,79,80,Y,N
R1RXC8XCAQKLFF,5,110,122,Y,N
R1UY30GVHU2523,2,15,22,Y,N
R1R6D1E1BA5KRH,5,36,36,Y,N
R1HWW3S7HFXSD8,4,241,246,Y,N
R17HZDH2BVNIDN,2,19,26,Y,N
R1IE8KZI71B9BF,4,14,21,Y,N
R3VYA7PYN1RNGU,3,43,50,Y,N
